City_ID,City,Country,Max Temp,Lat,lng,Hotel Name
322,shimoda,JP,64.0,34.67,138.95,Shimoda Tokyu Hotel
325,bukoba,TZ,67.44,-1.33,31.81,Elct Bukoba Hotel and Tours
326,idenao,CM,73.4,4.25,9.0,Moland Beach Resort
328,cockburn town,TC,82.67,21.46,-71.14,Osprey Beach Hotel
329,colares,PT,64.99,38.8,-9.45,Arribas Sintra Hotel
330,lere,NG,73.78,10.39,8.57,
332,shubarkuduk,KZ,66.6,49.14,56.49,
333,fargo,US,82.4,46.88,-96.79,"Courtyard by Marriott Fargo Moorhead, MN"
334,kloulklubed,PW,82.4,7.04,134.26,Storyboard Beach Resort
336,meulaboh,ID,77.43,4.14,96.13,Kost Pria
337,hualmay,PE,62.71,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
339,asfi,MA,69.21,32.3,-9.24,Hôtel Abda
341,plouzane,FR,71.6,48.38,-4.62,Résidence Nemea Iroise Armorique
342,manacapuru,BR,86.0,-3.3,-60.62,Novo Hotel
344,tahta,EG,80.67,26.77,31.5,Møhãmęd Tãręk 🏠
345,mandera,KE,80.22,3.94,41.87,Kornesh Hotel and Lodging
346,lao cai,VN,80.58,22.48,103.95,Legend Hotel
347,margate,GB,66.99,51.38,1.39,Premier Inn Margate hotel
348,ambilobe,MG,66.85,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
349,torbay,CA,75.2,47.67,-52.73,Gallows Cove
351,alofi,NU,80.6,-19.06,-169.92,Taloa Heights
355,jurm,AF,61.86,36.86,70.83,
356,ponta do sol,PT,71.6,32.67,-17.1,Hotel do Campo
359,diffa,NE,86.83,13.32,12.61,ProDAF/Diffa
360,mbanza-ngungu,CD,68.23,-5.25,14.87,Hotel Full Business
367,bintulu,MY,77.0,3.17,113.03,900 Boutique INN
373,cayenne,GF,78.8,4.93,-52.33,Hôtel Le Dronmi
374,hoegaarden,BE,70.0,50.78,4.89,Espace Tello
375,yerbogachen,RU,62.74,61.28,108.01,
378,pran buri,TH,79.16,12.38,99.91,Waterside Resort
379,saint paul,US,79.0,44.94,-93.09,InterContinental Saint Paul Riverfront
381,zhuanghe,CN,66.6,39.7,122.99,Hanting Express Dalian Zhuanghe Qiansheng
383,los llanos de aridane,ES,71.6,28.66,-17.92,Valle Aridane
384,sakakah,SA,84.2,29.97,40.21,Fakhamat Al Orjoana Apartment
385,gorontalo,ID,76.59,0.54,123.06,Maqna Hotel by Prasanthi
386,san patricio,MX,86.0,19.22,-104.7,Hotel Cabo Blanco
387,castelo branco,PT,75.99,39.82,-7.49,MELIÃ Castelo Branco
389,la union,PE,73.4,-5.4,-80.75,Los Portales
390,vao,NC,70.38,-22.67,167.48,Hotel Kou-Bugny
393,vila velha,BR,71.6,-20.33,-40.29,Hotel Vitória Palace
394,hambantota,LK,79.95,6.12,81.12,Bungalow 63
396,sorong,ID,79.27,-0.88,131.25,The Waigo Hotel
402,karema,TZ,74.07,-6.82,30.44,
404,paveh,IR,63.37,35.04,46.36,بنگاه معاملات ملکی
405,mazatlan,MX,86.0,23.22,-106.42,Gaviana Resort
407,corner brook,CA,80.6,48.97,-57.95,Glynmill Inn
410,port hardy,CA,60.8,50.7,-127.42,Airport Inn
411,weinan,CN,77.0,34.5,109.51,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
414,seoul,KR,71.6,37.57,126.98,LOTTE HOTEL SEOUL
416,zhigalovo,RU,64.4,54.81,105.16,"Hotel ""Lenatur"""
417,magdagachi,RU,66.02,53.45,125.8,Motopolyana Magdagachi
419,borogontsy,RU,72.46,62.67,131.17,
420,vangaindrano,MG,65.21,-23.35,47.6,Hotel Fanilo
421,ravar,IR,74.16,31.27,56.81,computertik
422,vikhorevka,RU,60.01,56.12,101.16,Pansionat Sosnovyye Rodniki
423,murgab,TM,77.0,37.5,61.97,
424,norderstedt,DE,64.99,53.7,10.02,Best Western Hotel Schmoeker-Hof
425,grand gaube,MU,70.0,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
428,sabang,ID,82.47,5.89,95.32,Hotel Citra
429,oytal,KZ,63.59,42.91,73.27,Sanatorium Ak-Niet
432,salaberry-de-valleyfield,CA,72.0,45.25,-74.13,Motel Grande-Ile
434,disna,BY,60.57,55.57,28.2,
435,pokhara,NP,72.21,28.23,83.98,Hotel View Point
436,dabou,CI,78.8,5.33,-4.38,Le Cognac de Dabou
437,lugovoy,KZ,60.58,42.95,72.76,
438,olinda,BR,80.6,-8.01,-34.86,Hotel 5 Sóis
439,zhanaozen,KZ,81.09,43.3,52.8,K.korabay 28A
440,hamilton,US,79.0,39.18,-84.53,Six Acres Bed & Breakfast
441,sterling,US,84.2,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
442,manaure,CO,85.98,11.78,-72.44,Del mar vendra
443,sur,OM,83.5,22.57,59.53,Sur Plaza Hotel
444,rongcheng,CN,77.0,30.63,117.85,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
445,alta floresta,BR,75.79,-9.88,-56.09,Floresta Amazonica Hotel
446,kamaishi,JP,63.77,39.27,141.88,Hotel Route Inn Kamaishi
448,kruisfontein,ZA,60.62,-34.0,24.73,Oyster Bay House Rental
449,sungurlu,TR,63.36,40.17,34.37,Sungurlu Ogretmenevi
451,gien,FR,72.0,47.69,2.63,Villa Hôtel
453,mitsamiouli,KM,78.84,-11.38,43.28,Foyer ADM
454,noshiro,JP,69.8,40.2,140.02,Azuma Ryokan
455,bela cruz,BR,77.34,-3.05,-40.17,Priva’s
458,hami,CN,80.6,42.8,93.45,Laoyutang Resort
459,sambava,MG,69.94,-14.27,50.17,Melrose
460,puerto princesa,PH,78.8,9.74,118.74,Deep Forest Garden Inn
463,vega de alatorre,MX,81.91,20.03,-96.63,Hotel Deluxe
464,pisco,PE,64.4,-13.7,-76.22,Hostal San Isidro Oficial
465,macia,MZ,60.35,-25.03,33.1,Hotel Taskin Macia
466,lanigan,CA,74.07,51.85,-105.03,Lagana Hotel & Bar
467,kysyl-syr,RU,71.71,63.9,122.76,
468,minuri,PH,79.23,16.54,121.86,
470,oulu,FI,64.4,65.01,25.47,Hotel Lasaretti
473,presidencia roque saenz pena,AR,69.71,-26.79,-60.44,Hotel Aconcagua
474,kpandae,GH,77.36,8.47,-0.01,
475,marsh harbour,BS,83.57,26.54,-77.06,Abaco Beach Resort
476,rudnya,RU,60.75,54.95,31.09,Paradoks
478,aykhal,RU,69.8,66.0,111.5,
479,hutchinson,US,90.0,38.06,-97.93,Hampton Inn Hutchinson
482,flin flon,CA,77.0,54.77,-101.86,Victoria Inn Flin Flon
483,kampong thum,KH,78.3,12.71,104.89,Sambor Village Hotel
484,roald,NO,62.01,62.58,6.13,Flem Cabins
485,mubende,UG,61.9,0.56,31.39,Nakayima Hotel
486,yaan,NG,77.74,7.38,8.57,
487,bowen,AU,64.99,-20.02,148.23,Castle Motor Lodge Motel
488,chokwe,MZ,60.96,-24.53,32.98,Complexo Sonho Real
489,hay river,CA,71.6,60.82,-115.8,Ptarmigan Inn Hotels
490,tateyama,JP,68.0,34.98,139.87,Tateyama Seaside Hotel
491,mlonggo,ID,76.73,-6.53,110.7,Asia Metal Art
492,puerto colombia,CO,86.0,10.99,-74.95,Hotel El Emigrante
493,moldava nad bodvou,SK,62.6,48.61,21.0,Ferdi´s Caffe & Pension
494,asau,RO,61.0,46.43,26.4,Casa Mika Ciobanus
495,irbeyskoye,RU,63.61,55.64,95.45,"Gostinitsa ""Agul"""
496,new haven,US,84.99,41.31,-72.93,Courtyard by Marriott New Haven at Yale
498,corinto,GR,75.0,37.94,22.96,Ephira Hotel
499,tevaitoa,PF,80.28,-16.78,-151.5,Hôtel Raiatea Lodge
500,faya,SA,71.6,18.39,42.45,مقبرة ال مجمل
501,port hawkesbury,CA,73.4,45.62,-61.35,Hearthstone Inn Port Hawkesbury
505,odweyne,SO,74.68,9.41,45.06,Eng Hiirey House
506,kaniama,CD,68.97,-7.57,24.18,
508,voi,KE,68.63,-3.39,38.56,Voi Wildlife Lodge
509,shingu,JP,71.6,33.73,135.98,Shingu UI Hotel
510,westport,US,84.0,41.14,-73.36,The Westport Inn
511,ferrol,ES,62.6,43.48,-8.24,Carrís Almirante
512,kumla,SE,64.0,59.13,15.14,Kumla Hotel
513,marfino,RU,61.0,55.7,37.38,Kardiologicheskiy Sanatornyy Tsentr Peredelkino
515,khash,IR,69.06,28.22,61.22,دفتر پیشخوان دولت جمال زهی (خالد)
516,bosconia,CO,83.8,9.97,-73.88,Hotel Jorlin
