City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
96,Lagoa,39.05,-27.98,65.95,94,57,10.25,PT,2020-06-23 03:04:38
97,Tuatapere,-46.13,167.68,51.26,75,100,1.48,NZ,2020-06-23 03:04:38
98,Severodvinsk,64.56,39.83,44.6,87,75,4.47,RU,2020-06-23 03:04:39
99,Takoradi,4.88,-1.76,77.02,84,100,7.09,GH,2020-06-23 03:04:39
100,Dum Duma,27.57,95.57,78.8,100,90,8.05,IN,2020-06-23 03:04:39
101,Hermanus,-34.42,19.23,45.0,98,13,1.99,ZA,2020-06-23 03:04:01
102,Nanortalik,60.14,-45.24,41.52,81,0,8.9,GL,2020-06-23 03:04:39
103,Meulaboh,4.14,96.13,74.68,88,100,8.34,ID,2020-06-23 03:04:40
104,Assomada,15.1,-23.68,80.6,47,0,3.36,CV,2020-06-23 03:04:40
105,Pokosnoye,55.53,101.05,74.89,49,77,6.11,RU,2020-06-23 03:04:40
106,San Jose De Ocoa,18.55,-70.5,59.0,4,43,4.41,DO,2020-06-23 03:04:40
107,Alice Springs,-23.7,133.88,57.2,47,0,6.93,AU,2020-06-23 03:01:58
108,Krasnozerskoye,53.98,79.24,66.72,62,0,7.72,RU,2020-06-23 03:04:40
109,Nome,64.5,-165.41,66.99,71,75,5.82,US,2020-06-23 03:04:41
110,Mar Del Plata,-38.0,-57.56,52.0,93,100,6.93,AR,2020-06-23 03:03:03
111,Kodiak,57.79,-152.41,53.6,76,90,12.75,US,2020-06-23 03:03:57
112,Cherskiy,68.75,161.3,52.36,45,7,19.3,RU,2020-06-23 03:04:41
113,Rognan,67.1,15.39,55.99,93,86,3.0,NO,2020-06-23 03:04:42
114,Upernavik,72.79,-56.15,38.66,75,74,10.18,GL,2020-06-23 03:04:42
115,Ahipara,-35.17,173.17,61.84,78,59,14.27,NZ,2020-06-23 03:04:42
116,Boffa,10.17,-14.03,78.67,88,97,5.1,GN,2020-06-23 03:04:42
117,Sinnamary,5.38,-52.95,77.36,88,100,7.09,GF,2020-06-23 03:01:05
118,Hovd,48.01,91.64,58.68,34,0,3.31,MN,2020-06-23 03:04:42
119,Mpika,-11.83,31.45,51.55,73,21,8.1,ZM,2020-06-23 03:04:43
120,Leningradskiy,69.38,178.42,35.78,82,93,16.96,RU,2020-06-23 03:04:43
121,Talnakh,69.49,88.4,60.8,51,82,22.37,RU,2020-06-23 03:04:43
122,Husavik,66.04,-17.34,46.4,87,75,6.93,IS,2020-06-23 03:04:43
123,Wanning,18.8,110.4,88.43,72,98,14.56,CN,2020-06-23 03:04:43
124,Kota Kinabalu,5.97,116.07,86.0,84,20,3.36,MY,2020-06-23 03:04:43
125,Pingliang,35.54,106.69,77.02,37,23,5.84,CN,2020-06-23 03:04:44
126,Te Anau,-45.42,167.72,50.67,76,62,1.23,NZ,2020-06-23 03:00:48
127,Khatanga,71.97,102.5,82.69,29,96,11.88,RU,2020-06-23 03:03:55
128,Bengkulu,-3.8,102.27,79.59,84,92,9.35,ID,2020-06-23 03:04:30
129,Soyo,-6.13,12.37,70.0,86,0,5.44,AO,2020-06-23 03:04:45
130,Severo-Kurilsk,50.68,156.12,50.61,78,100,11.21,RU,2020-06-23 03:04:45
131,Kambove,-10.88,26.6,47.79,69,0,5.19,CD,2020-06-23 03:04:45
132,Guanica,17.97,-66.91,84.99,77,1,8.39,PR,2020-06-23 03:04:45
133,Chernyshevskiy,63.01,112.47,73.29,34,0,12.48,RU,2020-06-23 03:04:45
134,Aklavik,68.22,-135.01,66.2,39,75,11.41,CA,2020-06-23 03:04:13
135,Klaksvik,62.23,-6.59,46.4,93,91,13.87,FO,2020-06-23 03:03:50
